state,Region,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed,last_available_confirmed
,,2020-02-25 00:00:00,2020-02-26 00:00:00,2020-02-27 00:00:00,2020-02-28 00:00:00,2020-02-29 00:00:00,2020-03-01 00:00:00,2020-03-02 00:00:00,2020-03-03 00:00:00,2020-03-04 00:00:00,2020-03-05 00:00:00,2020-03-06 00:00:00,2020-03-07 00:00:00,2020-03-08 00:00:00,2020-03-09 00:00:00,2020-03-10 00:00:00,2020-03-11 00:00:00,2020-03-12 00:00:00,2020-03-13 00:00:00,2020-03-14 00:00:00,2020-03-15 00:00:00,2020-03-16 00:00:00,2020-03-17 00:00:00,2020-03-18 00:00:00,2020-03-19 00:00:00,2020-03-20 00:00:00,2020-03-21 00:00:00,2020-03-22 00:00:00,2020-03-23 00:00:00,2020-03-24 00:00:00,2020-03-25 00:00:00,2020-03-26 00:00:00,2020-03-27 00:00:00,2020-03-28 00:00:00,2020-03-29 00:00:00,2020-03-30 00:00:00,2020-03-31 00:00:00,2020-04-01 00:00:00,2020-04-02 00:00:00,2020-04-03 00:00:00,2020-04-04 00:00:00,2020-04-05 00:00:00,2020-04-06 00:00:00,2020-04-07 00:00:00,2020-04-08 00:00:00,2020-04-09 00:00:00,2020-04-10 00:00:00,2020-04-11 00:00:00,2020-04-12 00:00:00,2020-04-13 00:00:00,2020-04-14 00:00:00,2020-04-15 00:00:00,2020-04-16 00:00:00,2020-04-17 00:00:00,2020-04-18 00:00:00,2020-04-19 00:00:00,2020-04-20 00:00:00,2020-04-21 00:00:00,2020-04-22 00:00:00,2020-04-23 00:00:00,2020-04-24 00:00:00,2020-04-25 00:00:00,2020-04-26 00:00:00,2020-04-27 00:00:00,2020-04-28 00:00:00,2020-04-29 00:00:00,2020-04-30 00:00:00,2020-05-01 00:00:00,2020-05-02 00:00:00,2020-05-03 00:00:00,2020-05-04 00:00:00,2020-05-05 00:00:00,2020-05-06 00:00:00,2020-05-07 00:00:00,2020-05-08 00:00:00,2020-05-09 00:00:00,2020-05-10 00:00:00,2020-05-11 00:00:00,2020-05-12 00:00:00,2020-05-13 00:00:00,2020-05-14 00:00:00,2020-05-15 00:00:00,2020-05-16 00:00:00,2020-05-17 00:00:00,2020-05-18 00:00:00,2020-05-19 00:00:00,2020-05-20 00:00:00,2020-05-21 00:00:00,2020-05-22 00:00:00,2020-05-23 00:00:00,2020-05-24 00:00:00,2020-05-25 00:00:00,2020-05-26 00:00:00,2020-05-27 00:00:00,2020-05-28 00:00:00,2020-05-29 00:00:00,2020-05-30 00:00:00,2020-05-31 00:00:00,2020-06-01 00:00:00,2020-06-02 00:00:00,2020-06-03 00:00:00,2020-06-04 00:00:00,2020-06-05 00:00:00,2020-06-06 00:00:00,2020-06-07 00:00:00,2020-06-08 00:00:00,2020-06-09 00:00:00,2020-06-10 00:00:00,2020-06-11 00:00:00,2020-06-12 00:00:00,2020-06-13 00:00:00
,,25/02,26/02,27/02,28/02,29/02,01/03,02/03,03/03,04/03,05/03,06/03,07/03,08/03,09/03,10/03,11/03,12/03,13/03,14/03,15/03,16/03,17/03,18/03,19/03,20/03,21/03,22/03,23/03,24/03,25/03,26/03,27/03,28/03,29/03,30/03,31/03,01/04,02/04,03/04,04/04,05/04,06/04,07/04,08/04,09/04,10/04,11/04,12/04,13/04,14/04,15/04,16/04,17/04,18/04,19/04,20/04,21/04,22/04,23/04,24/04,25/04,26/04,27/04,28/04,29/04,30/04,01/05,02/05,03/05,04/05,05/05,06/05,07/05,08/05,09/05,10/05,11/05,12/05,13/05,14/05,15/05,16/05,17/05,18/05,19/05,20/05,21/05,22/05,23/05,24/05,25/05,26/05,27/05,28/05,29/05,30/05,31/05,01/06,02/06,03/06,04/06,05/06,06/06,07/06,08/06,09/06,10/06,11/06,12/06,13/06
AC,Norte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,7,11,11,17,21,23,23,25,25,34,41,42,43,45,46,46,48,50,50,58,62,70,72,77,90,99,101,115,135,142,163,176,195,214,227,234,258,279,301,317,354,404,487,553,658,733,817,943,1014,1177,1335,1447,1460,1590,1694,1740,1785,1867,1996,2234,2482,2817,3103,3343,3867,4160,4501,4781,5251,5600,5841,6072,6219,6326,6465,6679,7021,7284,7525,7983,8127,8457,8746,9091,9295,9534
AL,Nordeste,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,4,6,7,7,8,10,11,11,12,14,17,17,18,18,18,23,23,28,31,34,37,37,45,48,48,58,72,83,89,110,132,159,171,210,243,324,413,501,560,643,777,957,1045,1226,1371,1441,1538,1605,1703,1867,2033,2170,2258,2343,2580,2761,2972,3212,3593,3816,4031,4319,4437,4916,5302,5630,6214,6682,7058,7580,8056,8619,9223,10288,10837,11559,12407,13096,13939,15706,16339,16339,17193,18176,19200,20031,20887
AM,Norte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,7,11,26,32,47,54,67,81,111,140,151,175,200,229,260,311,417,532,636,804,899,981,1049,1206,1275,1484,1554,1719,1809,1897,2044,2160,2270,2479,2888,3194,3635,3833,3928,4337,4801,5254,5723,6062,6683,7313,8109,9243,10099,10727,11925,12599,12919,14168,15816,17181,18392,19677,20328,20913,22132,23704,25367,27038,28802,29867,30282,31949,33508,36146,38909,40560,41378,41774,43195,44347,46473,47666,48785,49269,49817,51234,52849,53989,55111,56026
AP,Norte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,4,8,8,10,11,12,19,29,32,39,51,107,110,166,193,237,244,308,342,362,375,400,416,435,466,492,555,648,689,821,842,918,1016,1080,1121,1187,1482,1733,1931,2046,2199,2322,2493,2613,2671,2910,3005,3428,3630,3834,3952,4023,4310,4549,5188,5655,5655,6353,6584,6967,7619,8152,8469,9313,9602,9890,10511,11107,11551,12327,12773,13045,13294,13771,14623,15166,15683,16322
BA,Nordeste,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,3,3,7,7,9,10,14,27,31,34,41,55,63,79,91,108,123,127,156,176,217,246,267,290,336,401,437,462,515,568,616,640,674,723,776,884,967,1064,1200,1249,1377,1504,1645,1845,1979,2116,2248,2356,2564,2676,2867,3140,3315,3566,3734,4040,4301,4528,4818,5174,5558,5808,6204,6547,6955,8128,8314,8443,8881,11013,11197,11941,12557,13000,13899,14204,14566,15070,15963,16917,17626,18392,18898,21430,22451,23463,26419,27396,28250,28715,30481,32685,33891,34665,35788
CE,Nordeste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,19,24,68,84,125,164,185,211,237,282,322,359,382,401,445,563,658,745,960,1045,1188,1394,1445,1558,1668,1747,1935,2070,2291,2412,2747,3062,3306,3485,3682,4116,4702,5121,5667,6260,6783,6985,7409,7861,8000,8309,8379,11040,11470,12310,13888,15134,15879,16692,17599,18412,19156,21077,23059,23795,24255,26363,28112,30560,31413,34573,35122,35595,36185,37021,37275,37821,38395,47822,48489,50504,54683,56056,56056,62176,63575,64271,66218,69023,71947,74692,75784,76429
DF,Centro Oeste,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,8,14,19,19,34,42,87,108,117,138,161,195,201,241,260,298,312,333,370,400,419,456,468,485,503,509,527,556,592,618,641,651,688,727,756,796,860,875,913,959,968,1012,1020,1125,1189,1230,1313,1423,1546,1605,1720,1793,1837,2046,2258,2442,2576,2682,2799,2979,3192,3416,3787,4140,4368,4618,4853,5271,5542,5948,6248,6638,6930,7210,7761,8300,8722,9474,9780,10510,11256,12020,12923,14208,15850,16623,16948,18090,19433,20507,21396,21959
ES,Sudeste,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,4,4,8,8,11,13,16,26,26,33,40,40,48,54,61,72,85,97,120,139,153,166,194,209,227,273,300,349,383,430,463,557,734,935,952,1099,1195,1212,1313,1351,1453,1665,1711,1819,1944,2164,2538,2688,2913,3104,3208,3351,3540,3714,3988,4242,4412,4599,4819,5087,5401,5813,6198,6595,6744,7157,7693,8495,8878,9520,9918,10007,10365,10889,11484,12203,12903,13437,13690,14285,15151,16121,16894,18109,18950,19619,20659,21964,23391,24428,25502,26011
