state,Region,25/02,26/02,27/02,28/02,29/02,01/03,02/03,03/03,04/03,05/03,06/03,07/03,08/03,09/03,10/03,11/03,12/03,13/03,14/03,15/03,16/03,17/03,18/03,19/03,20/03,21/03,22/03,23/03,24/03,25/03,26/03,27/03,28/03,29/03,30/03,31/03,01/04,02/04,03/04,04/04,05/04,06/04,07/04,08/04,09/04,10/04,11/04,12/04,13/04,14/04,15/04,16/04,17/04,18/04,19/04,20/04,21/04,22/04,23/04,24/04,25/04,26/04,27/04,28/04,29/04,30/04,01/05,02/05,03/05,04/05,05/05,06/05,07/05,08/05,09/05,10/05,11/05,12/05,13/05,14/05,15/05,16/05,17/05,18/05,19/05,20/05,21/05,22/05,23/05,24/05,25/05,26/05,27/05
AC,Norte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,3.4482758620689653,3.225806451612903,2.857142857142857,2.7777777777777777,2.5974025974025974,3.3333333333333335,3.0303030303030303,3.9603960396039604,4.3478260869565215,3.7037037037037033,4.225352112676056,3.6809815950920246,4.545454545454546,4.102564102564102,3.7383177570093453,4.405286343612335,4.700854700854701,4.263565891472868,3.942652329749104,4.651162790697675,5.047318611987381,5.084745762711865,4.702970297029703,3.9014373716632447,3.9783001808318263,3.7993920972644375,3.819918144611187,3.549571603427173,3.711558854718982,3.5502958579881656,3.228547153780799,2.9962546816479403,2.8334485141672427,3.0136986301369864,3.207547169811321,3.0696576151121606,3.1609195402298855,3.1932773109243695,3.160149973219068,3.106212424849699,2.999104744852283,2.941176470588235,2.6624068157614484,2.5136964228166288,2.3930601256356567,2.2498060512024827,2.2115384615384617,2.155076649633415,2.155076649633415,2.155076649633415
AL,Nordeste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.555555555555555,5.555555555555555,5.555555555555555,8.695652173913043,8.695652173913043,7.142857142857142,6.451612903225806,5.88235294117647,8.108108108108109,8.108108108108109,6.666666666666667,6.25,6.25,6.896551724137931,5.555555555555555,6.024096385542169,5.617977528089887,6.363636363636363,7.575757575757576,9.433962264150944,10.526315789473683,9.047619047619047,8.23045267489712,6.790123456790123,6.5375302663438255,5.788423153692615,5.714285714285714,5.287713841368585,4.633204633204633,4.284221525600835,4.497607655502392,4.32300163132137,4.230488694383661,4.441360166551006,4.681404421326398,4.984423676012461,5.226071638285379,5.249062667380825,5.312346286276439,5.253456221198157,5.580159433126661,5.8898847631242,5.813953488372093,5.939876856211518,5.955585464333782,5.821917808219178,5.538547175062622,5.50314465408805,5.482510543289506,5.417920815003472,5.656975433851701,5.32953620829943,5.2810260279139944,5.346358792184724,5.0852912777598975,5.04340017958695,4.987248512326438,4.854881266490765
AM,Norte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.127659574468085,1.8518518518518516,1.4925373134328357,1.2345679012345678,0.9009009009009009,0.7142857142857143,1.3245033112582782,1.7142857142857144,1.5,1.3100436681222707,2.6923076923076925,3.858520900321544,3.597122302158273,3.571428571428571,3.6163522012578615,3.731343283582089,4.4493882091212456,5.09683995922528,5.052430886558628,5.140961857379768,5.568627450980392,6.064690026954178,6.82110682110682,7.213496218731821,8.015478164731896,8.487084870848708,8.904109589041095,8.564814814814815,8.502202643171806,8.309802339653086,8.102493074792244,7.983719474013776,7.895460797799175,7.931124445603965,8.146639511201629,8.093151948351395,7.915017704644865,8.089074990483441,8.31731609295824,8.264599142197294,8.199910219961096,7.999453028852728,8.003452953508447,8.125067618738505,7.980988216655114,8.147664771138249,8.067085953878408,7.968886419557107,8.011455995046056,7.749858836815358,7.334344967121901,7.188172981782201,7.236842105263158,6.987853839508055,6.951003541912633,6.852197197915172,6.736851617567323,6.5853864326695914,6.386249852170142,6.172793845698647,6.055135060065274,5.886095021260923,5.886095021260923,5.886095021260923,5.886095021260923
AP,Norte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4482758620689653,3.125,5.128205128205128,3.9215686274509802,1.8691588785046727,1.8181818181818181,1.2048192771084338,2.5906735751295336,2.109704641350211,2.459016393442623,2.272727272727273,2.046783625730994,2.7624309392265194,2.666666666666667,2.5,2.644230769230769,2.9885057471264367,2.7896995708154506,2.8455284552845526,2.8828828828828827,2.7777777777777777,2.9027576197387517,2.8014616321559074,3.0878859857482186,3.0501089324618738,3.0511811023622046,3.148148148148148,3.300624442462088,3.369839932603201,2.901484480431849,2.827466820542412,2.848265147591921,2.7370478983382207,2.7739881764438383,2.842377260981912,2.7677496991576414,2.755453501722158,2.73305877948334,2.9553264604810994,3.1281198003327786,2.9463243873978997,2.837465564738292,2.8169014084507045,3.0111336032388665,3.156848123291076,3.1554524361948957,3.121565179160255,2.9105628373168853,2.7763041556145005,2.7763041556145005,2.565716984101999,2.551640340218712,2.4831347782402755,2.401890011812574
BA,Nordeste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.641025641025641,1.1363636363636365,0.9216589861751152,0.8130081300813009,1.1235955056179776,2.0689655172413794,2.083333333333333,2.2443890274314215,2.2883295194508007,3.0303030303030303,3.4951456310679614,3.345070422535211,3.0844155844155843,3.28125,3.115727002967359,3.0428769017980635,3.350515463917526,3.167420814479638,3.5160289555325748,3.3834586466165413,3.3333333333333335,3.6028823058446755,3.413217138707335,3.1914893617021276,3.221884498480243,3.360433604336043,3.3855482566953006,3.402646502835539,3.291814946619217,3.5229202037351444,3.627145085803432,3.7369207772795217,3.6972445064527384,3.7261146496815285,3.7104072398190047,3.58945597307908,3.776111408677022,3.6138613861386135,3.7200651011392702,3.643992932862191,3.7982565379825655,3.788171627367607,3.634400863620007,3.6845730027548207,3.6266924564796903,3.6047044447838705,3.767074047447879,3.4571850393700787,3.4399807553524173,3.494018713727348,3.5131178921292645,2.9601380187051665,3.2330088416540144,3.1488150071183316,3.177510551883412,3.176923076923077,3.3095906180300743,3.3582089552238807,3.398324866126596,3.398324866126596
CE,Nordeste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2658227848101267,1.0638297872340425,1.2422360248447204,1.392757660167131,1.3089005235602094,1.7456359102244388,2.0224719101123596,3.7300177619893424,3.343465045592705,3.087248322147651,3.6458333333333335,3.349282296650718,3.3670033670033668,4.088952654232425,3.944636678200692,4.3003851091142495,4.436450839328537,4.350314825414997,5.219638242894057,5.36231884057971,5.412483631601921,5.597014925373134,5.642519111758282,5.878510777269758,5.716878402903811,5.911047345767575,6.002172732210755,5.806608357628766,5.763504891535517,5.721538761960555,5.7526027880712896,6.006389776357827,5.852867462774584,5.969935576234789,6.073694155756512,6.258745706653097,6.737500000000001,7.678420989288723,8.079723117317101,6.44927536231884,6.9311246730601574,6.896831844029244,6.502016129032258,6.587815514735033,6.688078594369923,6.6738557392763,6.756065685550315,6.951987834021291,7.250991856337439,6.703990131422878,6.791274556572271,6.782937591931078,6.765615337043908,6.630504874255585,6.602162777461583,6.217277486910995,6.879317480024194,6.510861076562636,6.571379761972553,6.529006882989184,6.889595136106122,7.031144485562249,7.031144485562249
DF,Centro Oeste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33557046979865773,0.641025641025641,0.9009009009009009,1.0810810810810811,1.25,1.431980906921241,1.5350877192982455,1.4957264957264957,2.0618556701030926,2.3856858846918487,2.357563850687623,2.4667931688804554,2.5179856115107913,2.364864864864865,2.26537216828479,2.3400936037441498,2.61136712749616,2.4709302325581395,2.7510316368638237,3.1746031746031744,3.015075376884422,2.7906976744186047,2.742857142857143,2.628696604600219,2.6068821689259645,2.6859504132231407,2.5691699604743086,2.6470588235294117,2.4,2.3549201009251473,2.2764227642276422,2.1325209444021325,2.1082220660576247,2.0051746442432083,1.9937694704049844,1.9186046511627908,1.8404907975460123,1.8508437670114317,1.7106549364613879,1.550044286979628,1.5151515151515151,1.513975155279503,1.5659955257270695,1.5719899964272956,1.544142329640819,1.5037593984962405,1.4929742388758782,1.4523369421705836,1.3526570048309179,1.3278388278388278,1.429190125595496,1.483618380383268,1.479795105293113,1.5156983038614218,1.5131136516476125,1.5204865556978233,1.566736968966556,1.645021645021645,1.7198335644937588,1.7136966885710605
ES,Sudeste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4388489208633095,3.2679738562091507,3.614457831325301,3.0927835051546393,2.8708133971291865,2.643171806167401,2.197802197802198,2.3333333333333335,2.292263610315186,2.3498694516971277,3.255813953488372,3.6717062634989204,3.231597845601436,2.861035422343324,2.9946524064171123,2.941176470588235,2.72975432211101,2.8451882845188283,2.8052805280528053,2.5894897182025893,2.7387120651369354,2.9593943565037852,2.8228228228228227,3.0391583869082406,3.1335898845519514,3.2407407407407405,3.5582255083179297,3.309692671394799,3.459821428571429,3.4672159285959494,3.350515463917526,3.5847880299251873,3.670546105640107,3.7570621468926557,3.9310716208939147,3.9368104312938814,3.889674681753889,3.8984587488667275,3.9356381822135242,4.067233865947292,4.16748574798506,4.314015922977226,4.283502494409083,4.194901581155212,4.109173616376043,4.225978647686833,4.219645102696661,4.224619784219421,4.072984108298999,4.088758729443569,4.17016806722689,4.204476709013914,4.466873188767863,4.486251808972503,4.486251808972503,4.486251808972503
GO,Centro Oeste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.631578947368421,2.0408163265306123,1.7857142857142856,1.7857142857142856,1.6666666666666667,1.5384615384615385,1.36986301369863,1.36986301369863,2.272727272727273,1.9417475728155338,2.608695652173913,4.201680672268908,3.7593984962406015,4.40251572327044,3.910614525139665,4.18848167539267,4.784688995215311,6.11353711790393,6.437768240343347,5.28169014084507,4.934210526315789,5.031446540880504,4.776119402985075,4.761904761904762,4.580152671755725,4.714640198511166,4.513064133016627,4.794520547945205,5.077262693156733,4.938271604938271,4.940711462450593,4.363001745200698,4.220779220779221,4.084720121028744,3.829787234042553,3.713188220230474,3.5891089108910887,3.6363636363636362,3.5294117647058822,3.484320557491289,4.121475054229935,4.39453125,4.284323271665044,4.653371320037987,4.396632366697848,4.300091491308326,4.454545454545455,4.663677130044843,4.979591836734694,4.589041095890411,4.174454828660436,4.176755447941889,4.137115839243498,4.098820887142055,3.882978723404255,3.806734992679356,3.944315545243619,4.052901023890785,3.9014373716632447,3.8183279742765275,3.8170974155069586,3.8433111603843315,3.716448726772195
MA,Nordeste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.761904761904762,3.3333333333333335,1.9607843137254901,1.4285714285714286,1.25,1.1494252873563218,2.1052631578947367,1.5151515151515151,2.3391812865497075,4.8034934497816595,4.411764705882353,5.460750853242321,6.104651162790697,6.030150753768844,6.067415730337078,6.694560669456067,5.396825396825397,5.323741007194244,5.018820577164367,4.230769230769231,3.9834024896265556,4.090909090909091,4.297994269340974,4.114713216957606,4.325554923164485,4.51050743208611,4.750593824228028,5.038236617183985,5.186721991701245,5.735759493670886,5.920114122681883,5.768025078369906,5.818596691386195,5.886990801576872,5.866336633663366,5.8907026259758695,5.9823399558498895,5.787589498806683,5.6596771200593805,5.5847013030969705,5.247597930524759,4.987498355046717,4.899312377210216,4.961294862772695,4.872695346795434,4.795429037853281,4.6186795791041995,4.520358868184955,4.394812680115274,4.351110439643451,4.254120298633611,4.194786290856159,4.128783161041225,4.026260748315129,3.8471785581073163,3.5581142938039734,3.4407092074080574,3.3651865886811105,3.2625741059476,3.2625741059476
