,Data Cadastro,RA,Casos,Casos Acumulados
0,2020-03-01,Taguatinga,1,1
0,2020-03-01,Pôr do Sol,0,0
0,2020-03-01,Recanto das Emas,0,0
0,2020-03-01,Riacho Fundo,0,0
0,2020-03-01,Riacho Fundo II,0,0
0,2020-03-01,SCIA,0,0
0,2020-03-01,SIA,0,0
0,2020-03-01,Planaltina,0,0
0,2020-03-01,Samambaia,0,0
0,2020-03-01,Sistema Penitenciário,0,0
0,2020-03-01,Sobradinho,0,0
0,2020-03-01,Sobradinho II,0,0
0,2020-03-01,Sudoeste/Octogonal,0,0
0,2020-03-01,São Sebastião,0,0
0,2020-03-01,Varjão,0,0
0,2020-03-01,Santa Maria,0,0
0,2020-03-01,Park Way,0,0
0,2020-03-01,Paranoá,0,0
0,2020-03-01,Outros Estados,0,0
0,2020-03-01,Arniqueira,0,0
0,2020-03-01,Brazlândia,0,0
0,2020-03-01,Candangolândia,0,0
0,2020-03-01,Ceilândia,0,0
0,2020-03-01,Cruzeiro,0,0
0,2020-03-01,Entorno DF,0,0
0,2020-03-01,Fercal,0,0
0,2020-03-01,Gama,0,0
0,2020-03-01,Guará,0,0
0,2020-03-01,Itapoã,0,0
0,2020-03-01,Jardim Botânico,0,0
0,2020-03-01,Lago Norte,0,0
0,2020-03-01,Lago Sul,0,0
0,2020-03-01,Não Informado,0,0
0,2020-03-01,Núcleo Bandeirante,0,0
0,2020-03-01,Vicente Pires,0,0
0,2020-03-01,Águas Claras,0,0
0,2020-03-01,Plano Piloto,0,0
0,2020-03-16,Arniqueira,0,0
0,2020-03-16,Riacho Fundo,0,0
0,2020-03-16,Riacho Fundo II,0,0
0,2020-03-16,SCIA,0,0
0,2020-03-16,SIA,0,0
0,2020-03-16,Samambaia,0,0
0,2020-03-16,Santa Maria,0,0
0,2020-03-16,Sistema Penitenciário,0,0
0,2020-03-16,Recanto das Emas,0,0
0,2020-03-16,Sobradinho,0,0
0,2020-03-16,Sudoeste/Octogonal,0,0
0,2020-03-16,São Sebastião,0,0
0,2020-03-16,Taguatinga,0,1
0,2020-03-16,Varjão,0,0
0,2020-03-16,Vicente Pires,0,0
0,2020-03-16,Brazlândia,0,0
1,2020-03-16,Plano Piloto,1,1
0,2020-03-16,Sobradinho II,0,0
0,2020-03-16,Pôr do Sol,0,0
0,2020-03-16,Águas Claras,0,0
0,2020-03-16,Candangolândia,0,0
0,2020-03-16,Ceilândia,0,0
0,2020-03-16,Cruzeiro,0,0
0,2020-03-16,Entorno DF,0,0
0,2020-03-16,Fercal,0,0
0,2020-03-16,Planaltina,0,0
0,2020-03-16,Guará,0,0
0,2020-03-16,Itapoã,0,0
0,2020-03-16,Gama,0,0
0,2020-03-16,Lago Norte,0,0
0,2020-03-16,Lago Sul,0,0
0,2020-03-16,Não Informado,0,0
0,2020-03-16,Núcleo Bandeirante,0,0
0,2020-03-16,Outros Estados,0,0
0,2020-03-16,Paranoá,0,0
0,2020-03-16,Park Way,0,0
0,2020-03-16,Jardim Botânico,0,0
0,2020-03-17,Riacho Fundo,0,0
0,2020-03-17,Riacho Fundo II,0,0
0,2020-03-17,SCIA,0,0
0,2020-03-17,SIA,0,0
0,2020-03-17,Samambaia,0,0
0,2020-03-17,Santa Maria,0,0
0,2020-03-17,Sistema Penitenciário,0,0
0,2020-03-17,Águas Claras,0,0
0,2020-03-17,Sobradinho II,0,0
0,2020-03-17,Sudoeste/Octogonal,0,0
0,2020-03-17,São Sebastião,0,0
0,2020-03-17,Taguatinga,0,1
0,2020-03-17,Varjão,0,0
0,2020-03-17,Vicente Pires,0,0
0,2020-03-17,Recanto das Emas,0,0
0,2020-03-17,Sobradinho,0,0
0,2020-03-17,Pôr do Sol,0,0
0,2020-03-17,Jardim Botânico,0,0
0,2020-03-17,Park Way,0,0
0,2020-03-17,Candangolândia,0,0
0,2020-03-17,Ceilândia,0,0
0,2020-03-17,Cruzeiro,0,0
0,2020-03-17,Entorno DF,0,0
0,2020-03-17,Fercal,0,0
0,2020-03-17,Gama,0,0
0,2020-03-17,Planaltina,0,0
0,2020-03-17,Guará,0,0
0,2020-03-17,Lago Norte,0,0
0,2020-03-17,Lago Sul,0,0
0,2020-03-17,Não Informado,0,0
0,2020-03-17,Núcleo Bandeirante,0,0
0,2020-03-17,Outros Estados,0,0
0,2020-03-17,Paranoá,0,0
0,2020-03-17,Itapoã,0,0
0,2020-03-17,Arniqueira,0,0
0,2020-03-17,Brazlândia,0,0
2,2020-03-17,Plano Piloto,1,2
0,2020-03-18,Pôr do Sol,0,0
0,2020-03-18,Candangolândia,0,0
0,2020-03-18,Ceilândia,0,0
0,2020-03-18,Cruzeiro,0,0
0,2020-03-18,Entorno DF,0,0
0,2020-03-18,Fercal,0,0
0,2020-03-18,Gama,0,0
0,2020-03-18,Guará,0,0
0,2020-03-18,Itapoã,0,0
0,2020-03-18,Não Informado,0,0
0,2020-03-18,Núcleo Bandeirante,0,0
0,2020-03-18,Paranoá,0,0
0,2020-03-18,Park Way,0,0
0,2020-03-18,Planaltina,0,0
0,2020-03-18,Recanto das Emas,0,0
0,2020-03-18,Riacho Fundo,0,0
0,2020-03-18,Riacho Fundo II,0,0
0,2020-03-18,SCIA,0,0
0,2020-03-18,SIA,0,0
0,2020-03-18,Samambaia,0,0
0,2020-03-18,Santa Maria,0,0
0,2020-03-18,Sistema Penitenciário,0,0
0,2020-03-18,Sobradinho,0,0
0,2020-03-18,Sobradinho II,0,0
0,2020-03-18,São Sebastião,0,0
0,2020-03-18,Taguatinga,0,1
0,2020-03-18,Varjão,0,0
0,2020-03-18,Vicente Pires,0,0
0,2020-03-18,Brazlândia,0,0
0,2020-03-18,Arniqueira,0,0
0,2020-03-18,Lago Norte,0,0
6,2020-03-18,Plano Piloto,5,7
8,2020-03-18,Águas Claras,3,3
7,2020-03-18,Sudoeste/Octogonal,3,3
5,2020-03-18,Outros Estados,2,2
4,2020-03-18,Lago Sul,8,8
3,2020-03-18,Jardim Botânico,1,1
9,2020-03-19,Ceilândia,1,1
0,2020-03-19,SCIA,0,0
0,2020-03-19,Arniqueira,0,0
10,2020-03-19,Cruzeiro,1,1
0,2020-03-19,Brazlândia,0,0
0,2020-03-19,Entorno DF,0,0
0,2020-03-19,Fercal,0,0
0,2020-03-19,Itapoã,0,0
0,2020-03-19,Jardim Botânico,0,1
0,2020-03-19,Não Informado,0,0
0,2020-03-19,Planaltina,0,0
0,2020-03-19,Pôr do Sol,0,0
0,2020-03-19,Recanto das Emas,0,0
0,2020-03-19,Candangolândia,0,0
0,2020-03-19,Riacho Fundo,0,0
11,2020-03-19,Gama,1,1
13,2020-03-19,Lago Norte,1,1
0,2020-03-19,Varjão,0,0
0,2020-03-19,São Sebastião,0,0
0,2020-03-19,Sobradinho II,0,0
0,2020-03-19,Sobradinho,0,0
0,2020-03-19,Sistema Penitenciário,0,0
0,2020-03-19,Santa Maria,0,0
0,2020-03-19,SIA,0,0
23,2020-03-19,Águas Claras,3,6
12,2020-03-19,Guará,1,1
22,2020-03-19,Taguatinga,1,2
21,2020-03-19,Sudoeste/Octogonal,3,6
20,2020-03-19,Samambaia,1,1
19,2020-03-19,Plano Piloto,10,17
18,2020-03-19,Park Way,1,1
17,2020-03-19,Paranoá,1,1
16,2020-03-19,Outros Estados,3,5
15,2020-03-19,Núcleo Bandeirante,1,1
14,2020-03-19,Lago Sul,12,20
0,2020-03-19,Vicente Pires,0,0
0,2020-03-19,Riacho Fundo II,0,0
31,2020-03-20,Vicente Pires,1,1
24,2020-03-20,Cruzeiro,1,2
25,2020-03-20,Lago Norte,1,2
26,2020-03-20,Lago Sul,2,22
27,2020-03-20,Outros Estados,3,8
28,2020-03-20,Plano Piloto,9,26
29,2020-03-20,Sudoeste/Octogonal,1,7
30,2020-03-20,Taguatinga,1,3
32,2020-03-20,Águas Claras,1,7
0,2020-03-20,Arniqueira,0,0
0,2020-03-20,Riacho Fundo II,0,0
0,2020-03-20,Candangolândia,0,0
0,2020-03-20,Brazlândia,0,0
0,2020-03-20,Varjão,0,0
0,2020-03-20,São Sebastião,0,0
0,2020-03-20,Sobradinho II,0,0
0,2020-03-20,Sobradinho,0,0
0,2020-03-20,Santa Maria,0,0
0,2020-03-20,Samambaia,0,1
0,2020-03-20,SIA,0,0
0,2020-03-20,SCIA,0,0
0,2020-03-20,Riacho Fundo,0,0
0,2020-03-20,Recanto das Emas,0,0
0,2020-03-20,Pôr do Sol,0,0
0,2020-03-20,Sistema Penitenciário,0,0
0,2020-03-20,Park Way,0,1
0,2020-03-20,Planaltina,0,0
0,2020-03-20,Entorno DF,0,0
0,2020-03-20,Fercal,0,0
0,2020-03-20,Ceilândia,0,1
0,2020-03-20,Guará,0,1
0,2020-03-20,Gama,0,1
0,2020-03-20,Jardim Botânico,0,1
0,2020-03-20,Não Informado,0,0
0,2020-03-20,Núcleo Bandeirante,0,1
0,2020-03-20,Paranoá,0,1
0,2020-03-20,Itapoã,0,0
0,2020-03-21,Santa Maria,0,0
0,2020-03-21,Samambaia,0,1
0,2020-03-21,Sistema Penitenciário,0,0
0,2020-03-21,Sobradinho II,0,0
0,2020-03-21,São Sebastião,0,0
0,2020-03-21,Vicente Pires,0,1
33,2020-03-21,Gama,1,2
39,2020-03-21,Sobradinho,1,1
35,2020-03-21,Lago Sul,2,24
36,2020-03-21,Outros Estados,3,11
37,2020-03-21,Plano Piloto,6,32
38,2020-03-21,Riacho Fundo,1,1
40,2020-03-21,Sudoeste/Octogonal,2,9
41,2020-03-21,Taguatinga,1,4
0,2020-03-21,SIA,0,0
42,2020-03-21,Águas Claras,3,10
34,2020-03-21,Guará,4,5
0,2020-03-21,SCIA,0,0
0,2020-03-21,Varjão,0,0
0,2020-03-21,Recanto das Emas,0,0
0,2020-03-21,Lago Norte,0,2
0,2020-03-21,Jardim Botânico,0,1
0,2020-03-21,Itapoã,0,0
0,2020-03-21,Fercal,0,0
0,2020-03-21,Entorno DF,0,0
0,2020-03-21,Cruzeiro,0,2
0,2020-03-21,Ceilândia,0,1
0,2020-03-21,Candangolândia,0,0
0,2020-03-21,Arniqueira,0,0
0,2020-03-21,Brazlândia,0,0
0,2020-03-21,Paranoá,0,1
0,2020-03-21,Pôr do Sol,0,0
0,2020-03-21,Planaltina,0,0
0,2020-03-21,Park Way,0,1
0,2020-03-21,Núcleo Bandeirante,0,1
0,2020-03-21,Riacho Fundo II,0,0
0,2020-03-21,Não Informado,0,0
48,2020-03-22,Taguatinga,2,6
49,2020-03-22,Águas Claras,2,12
0,2020-03-22,Entorno DF,0,0
46,2020-03-22,Lago Sul,1,25
47,2020-03-22,Plano Piloto,7,39
43,2020-03-22,Guará,1,6
0,2020-03-22,Arniqueira,0,0
0,2020-03-22,Brazlândia,0,0
0,2020-03-22,Candangolândia,0,0
44,2020-03-22,Jardim Botânico,1,2
0,2020-03-22,Ceilândia,0,1
0,2020-03-22,Cruzeiro,0,2
45,2020-03-22,Lago Norte,1,3
0,2020-03-22,Gama,0,2
0,2020-03-22,Itapoã,0,0
0,2020-03-22,Vicente Pires,0,1
0,2020-03-22,Varjão,0,0
0,2020-03-22,São Sebastião,0,0
0,2020-03-22,Sudoeste/Octogonal,0,9
0,2020-03-22,Sobradinho II,0,0
0,2020-03-22,Sobradinho,0,1
0,2020-03-22,Sistema Penitenciário,0,0
0,2020-03-22,Fercal,0,0
0,2020-03-22,Samambaia,0,1
0,2020-03-22,SIA,0,0
0,2020-03-22,Santa Maria,0,0
0,2020-03-22,Riacho Fundo II,0,0
