codigo_ibge,nome,latitude,longitude,tipo,Região,codigo_uf,UF,RAZDEP,GINI,PIND,PMPOB,PPOB,RDPC,T_AGUA,T_BANAGUA,T_DENS,AGUA_ESGOTO,T_RMAXIDOSO,IDHM,IDHM_E,IDHM_L,IDHM_R,population2019,distance_capital,distance_nearest_capital,distance_nearest_bigcity
1100015,Alta Floresta D'Oeste,-11.9283,-61.9953,Municipio,Norte,11,RO,47.37,0.58,14.29,26.04,47.12,476.99,93.69,80.2,22.58,9.31,2.2,0.641,0.526,0.763,0.657,22945.0,409.2,409.2,409.2
1100023,Ariquemes,-9.90571,-63.0325,Municipio,Norte,11,RO,46.68,0.53,4.36,11.54,29.04,689.95,98.54,85.35,27.15,11.4,1.4,0.702,0.6,0.806,0.716,107863.0,158.95,158.95,158.95
1100031,Cabixi,-13.4945,-60.552,Municipio,Norte,11,RO,48.12,0.51,7.27,21.2,46.98,457.17,95.49,91.63,19.93,3.31,3.1,0.65,0.559,0.757,0.65,5312.0,640.62,533.57,532.38
1100049,Cacoal,-11.4343,-61.4562,Municipio,Norte,11,RO,43.79,0.57,5.97,13.08,29.82,738.06,97.96,93.44,20.5,1.85,1.84,0.718,0.62,0.821,0.727,85359.0,399.91,399.91,399.91
1100056,Cerejeiras,-13.187,-60.8168,Municipio,Norte,11,RO,45.67,0.5,4.72,13.7,34.85,577.18,97.53,86.87,16.66,5.34,1.43,0.692,0.602,0.799,0.688,16323.0,596.19,574.77,573.77
1100064,Colorado do Oeste,-13.1174,-60.5454,Municipio,Norte,11,RO,45.82,0.49,6.64,15.76,37.11,535.41,95.54,93.89,14.73,2.99,1.9,0.685,0.584,0.814,0.676,15882.0,607.23,552.99,552.22
1100072,Corumbiara,-12.9551,-60.8947,Municipio,Norte,11,RO,46.32,0.48,10.16,24.02,46.42,402.15,93.24,86.43,14.46,6.31,1.11,0.613,0.473,0.774,0.63,7391.0,570.23,570.23,570.23
1100080,Costa Marques,-12.4367,-64.228,Municipio,Norte,11,RO,60.13,0.52,9.66,30.48,55.8,370.77,95.67,54.32,36.18,36.41,2.12,0.611,0.493,0.751,0.616,18331.0,410.31,410.31,410.31
1100098,Espigão D'Oeste,-11.5266,-61.0252,Municipio,Norte,11,RO,46.83,0.52,6.6,13.86,35.08,590.8,93.7,84.71,19.97,7.66,1.88,0.672,0.536,0.819,0.691,32374.0,439.97,439.97,439.97
1100106,Guajará-Mirim,-10.7889,-65.3296,Municipio,Norte,11,RO,56.67,0.54,10.38,23.47,43.92,494.69,93.26,49.32,43.4,36.84,1.73,0.657,0.519,0.823,0.663,46174.0,274.59,274.59,274.59
1100114,Jaru,-10.4318,-62.4788,Municipio,Norte,11,RO,47.49,0.49,4.32,13.78,32.12,575.14,97.09,82.81,19.09,15.11,1.4,0.689,0.577,0.825,0.687,51775.0,242.49,242.49,242.49
1100122,Ji-Paraná,-10.8777,-61.9322,Municipio,Norte,11,RO,43.98,0.53,2.67,8.56,26.26,743.35,97.81,89.31,23.3,5.87,2.12,0.714,0.617,0.81,0.728,128969.0,319.19,319.19,319.19
1100130,Machadinho D'Oeste,-9.44363,-61.9818,Municipio,Norte,11,RO,52.55,0.55,17.59,28.55,51.72,401.42,92.56,69.34,28.87,17.19,3.44,0.596,0.446,0.755,0.629,39991.0,223.87,223.87,223.87
1100148,Nova Brasilândia D'Oeste,-11.7247,-62.3127,Municipio,Norte,11,RO,46.8,0.56,10.3,23.16,46.94,499.59,94.07,74.6,20.31,9.6,2.02,0.643,0.524,0.763,0.664,20474.0,372.53,372.53,372.53
