id,ibge,municipio,uf,estado,planos_municipais,destinacao_final,tipo_destinacao,possui_coleta_seletiva,coleta_participa_catadores,possui_catadores_regularizados,realizam_compostagem,participam_consorcio
100111001,110001,ALTA FLORESTA D´OESTE,RO,Rondônia,Não Iniciado,Em outro Município,Aterro Sanitário,Não,Nulo,Sim,Não,Não
100111002,110037,ALTO ALEGRE DOS PARECIS,RO,Rondônia,Em Elaboração,Em outro Município,Aterro Sanitário,Não,Nulo,Sim,Não,Não
100111003,110040,ALTO PARAÍSO,RO,Rondônia,Em Elaboração,Em outro Município,Lixão,Não,Nulo,Sim,Não,Sim
100111004,110034,ALVORADA D´OESTE,RO,Rondônia,Em Elaboração,No próprio Município,Lixão,Não,Nulo,Sim,Não,Sim
100111005,110002,ARIQUEMES,RO,Rondônia,Finalizado,No próprio Município,Aterro Sanitário,Sim,,Sim,Não,Sim
100111006,110045,BURITIS,RO,Rondônia,Não soube informar,Em outro Município,Aterro Sanitário,Não,Nulo,Sim,Não,Sim
100111007,110003,CABIXI,RO,Rondônia,Finalizado,Em outro Município,Aterro Sanitário,Não,Nulo,Sim,Não,Sim
100111008,110060,CACAULÂNDIA,RO,Rondônia,Em Elaboração,Em outro Município,Aterro Sanitário,Sim,Não,Sim,Não,Sim
100111009,110004,CACOAL,RO,Rondônia,Em Elaboração,No próprio Município,Aterro Sanitário,Sim,Sim,Sim,Não,Não
100111010,110070,CAMPO NOVO DE RONDÔNIA,RO,Rondônia,Em Elaboração,No próprio Município,Lixão,Não,Nulo,Não,Não,Sim
100111011,110080,CANDEIAS DO JAMARI,RO,Rondônia,Em Elaboração,No próprio Município,Lixão,Não,Nulo,Sim,Não,Não
100111012,110090,CASTANHEIRAS,RO,Rondônia,Não Iniciado,Em outro Município,Aterro Sanitário,Não,Nulo,Sim,Não,Sim
100111013,110005,CEREJEIRAS,RO,Rondônia,Não Iniciado,Em outro Município,Aterro Sanitário,Sim,Sim,Sim,Não,Sim
100111014,110092,CHUPINGUAIA,RO,Rondônia,Em Elaboração,Em outro Município,Aterro Sanitário,Não,Nulo,Não,Não,Não
100111015,110006,COLORADO DO OESTE,RO,Rondônia,Em Elaboração,No próprio Município,Lixão,Não,Nulo,Sim,Não,Sim
100111016,110007,CORUMBIARA,RO,Rondônia,Em Elaboração,Em outro Município,Aterro Sanitário,Não,Nulo,Não,Não,Não soube informar
100111017,110008,COSTA MARQUES,RO,Rondônia,Finalizado,Em outro Município,Nulo,Não,,Não,Não,Sim
100111018,110094,CUJUBIM,RO,Rondônia,Em Elaboração,Em outro Município,Lixão,Não,Nulo,Sim,Não,Sim
100111019,110009,ESPIGÃO D´OESTE,RO,Rondônia,Finalizado,Em outro Município,Aterro Sanitário,Não,Nulo,Sim,Não,Sim
