mapas_desastres,tipo_desastre,vigencia,ibge,uf
seca,Situação de Emergência,2017-06-05,270490,AL
outros,Situação de Emergência,2017-07-05,355400,SP
chuva,Situação de Emergência,2017-07-11,350010,SP
chuva,Situação de Emergência,2017-07-16,350335,SP
seca,Situação de Emergência,2017-07-17,270590,AL
chuva,Situação de Emergência,2017-07-18,351630,SP
chuva,Situação de Emergência,2017-07-18,350600,SP
chuva,Situação de Emergência,2017-07-22,352740,SP
chuva,Situação de Emergência,2017-07-22,352890,SP
chuva,Situação de Emergência,2017-07-22,353320,SP
chuva,Situação de Emergência,2017-07-23,410520,PR
seca,Situação de Emergência,2017-07-24,530010,DF
seca,Situação de Emergência,2017-07-24,270170,AL
seca,Situação de Emergência,2017-07-25,270940,AL
outros,Situação de Emergência,2017-07-25,270680,AL
chuva,Situação de Emergência,2017-07-29,120020,AC
chuva,Situação de Emergência,2017-07-29,410610,PR
chuva,Situação de Emergência,2017-07-29,350800,SP
chuva,Situação de Emergência,2017-07-29,354470,SP
chuva,Situação de Emergência,2017-07-30,120060,AC
seca,Situação de Emergência,2017-07-30,270550,AL
chuva,Situação de Emergência,2017-07-31,120042,AC
chuva,Situação de Emergência,2017-08-01,355590,SP
chuva,Situação de Emergência,2017-08-05,354325,SP
chuva,Situação de Emergência,2017-08-08,500500,MS
chuva,Situação de Emergência,2017-08-09,350410,SP
seca,Situação de Emergência,2017-08-13,270810,AL
seca,Situação de Emergência,2017-08-15,270110,AL
seca,Situação de Emergência,2017-08-19,270900,AL
seca,Situação de Emergência,2017-08-19,270200,AL
seca,Situação de Emergência,2017-08-19,270642,AL
seca,Situação de Emergência,2017-08-19,270190,AL
seca,Situação de Emergência,2017-08-19,270915,AL
seca,Situação de Emergência,2017-08-19,270930,AL
seca,Situação de Emergência,2017-08-19,270300,AL
seca,Situação de Emergência,2017-08-19,270310,AL
seca,Situação de Emergência,2017-08-19,270330,AL
seca,Situação de Emergência,2017-08-19,270340,AL
seca,Situação de Emergência,2017-08-19,270370,AL
seca,Situação de Emergência,2017-08-19,270380,AL
seca,Situação de Emergência,2017-08-19,270390,AL
seca,Situação de Emergência,2017-08-19,270400,AL
seca,Situação de Emergência,2017-08-19,270410,AL
seca,Situação de Emergência,2017-08-19,270420,AL
seca,Situação de Emergência,2017-08-19,270440,AL
seca,Situação de Emergência,2017-08-19,270460,AL
seca,Situação de Emergência,2017-08-19,270480,AL
seca,Situação de Emergência,2017-08-19,270500,AL
seca,Situação de Emergência,2017-08-19,270610,AL
seca,Situação de Emergência,2017-08-19,270620,AL
seca,Situação de Emergência,2017-08-19,270630,AL
seca,Situação de Emergência,2017-08-19,270010,AL
seca,Situação de Emergência,2017-08-19,270030,AL
seca,Situação de Emergência,2017-08-19,270040,AL
seca,Situação de Emergência,2017-08-19,270070,AL
seca,Situação de Emergência,2017-08-19,270080,AL
seca,Situação de Emergência,2017-08-19,270090,AL
seca,Situação de Emergência,2017-08-19,270100,AL
seca,Situação de Emergência,2017-08-19,270120,AL
seca,Situação de Emergência,2017-08-19,270130,AL
seca,Situação de Emergência,2017-08-19,270140,AL
seca,Situação de Emergência,2017-08-19,270150,AL
seca,Situação de Emergência,2017-08-19,270180,AL
seca,Situação de Emergência,2017-08-19,270210,AL
seca,Situação de Emergência,2017-08-19,270235,AL
seca,Situação de Emergência,2017-08-19,270240,AL
seca,Situação de Emergência,2017-08-19,270250,AL
seca,Situação de Emergência,2017-08-19,270255,AL
seca,Situação de Emergência,2017-08-19,270260,AL
seca,Situação de Emergência,2017-08-19,270290,AL
seca,Situação de Emergência,2017-08-19,270520,AL
seca,Situação de Emergência,2017-08-19,270530,AL
seca,Situação de Emergência,2017-08-19,270540,AL
seca,Situação de Emergência,2017-08-19,270550,AL
seca,Situação de Emergência,2017-08-19,270570,AL
seca,Situação de Emergência,2017-08-19,270580,AL
seca,Situação de Emergência,2017-08-19,270600,AL
seca,Situação de Emergência,2017-08-19,270710,AL
seca,Situação de Emergência,2017-08-19,270750,AL
seca,Situação de Emergência,2017-08-19,270760,AL
seca,Situação de Emergência,2017-08-19,270770,AL
seca,Situação de Emergência,2017-08-19,270800,AL
seca,Situação de Emergência,2017-08-19,270810,AL
seca,Situação de Emergência,2017-08-19,270820,AL
seca,Situação de Emergência,2017-08-19,270840,AL
seca,Situação de Emergência,2017-08-19,270880,AL
seca,Situação de Emergência,2017-08-19,270895,AL
seca,Situação de Emergência,2017-08-19,270920,AL
seca,Situação de Emergência,2017-08-19,270640,AL
seca,Situação de Emergência,2017-08-19,270830,AL
seca,Situação de Emergência,2017-08-19,270660,AL
seca,Situação de Emergência,2017-08-19,270720,AL
seca,Situação de Emergência,2017-08-19,270320,AL
seca,Situação de Emergência,2017-08-20,270160,AL
chuva,Situação de Emergência,2017-08-21,350690,SP
chuva,Situação de Emergência,2017-08-22,410050,PR
chuva,Situação de Emergência,2017-08-28,354150,SP
chuva,Situação de Emergência,2017-08-30,354800,SP
chuva,Situação de Emergência,2017-09-05,410347,PR
seca,Situação de Emergência,2017-07-01,292600,BA
chuva,Situação de Emergência,2017-07-01,430045,RS
chuva,Situação de Emergência,2017-07-01,431360,RS
chuva,Situação de Emergência,2017-07-01,431790,RS
chuva,Situação de Emergência,2017-07-01,432163,RS
chuva,Situação de Emergência,2017-07-01,420070,SC
seca,Situação de Emergência,2017-07-01,280110,SE
seca,Situação de Emergência,2017-07-01,280500,SE
seca,Situação de Emergência,2017-08-01,290170,BA
