id,id_municipio,municipio,uf,ibge,total_decretos,det_ano,det_desastres,det_tipo
23894,0,Fernando de Noronha ,PE,260545,2,"2019,2019","chuva,chuva","Situação de Emergência,Situação de Emergência"
11430,100111006,Buritis,RO,110045,1,2015,chuva,Situação de Emergência
2131,100111009,Cacoal,RO,110004,1,2012,chuva,Situação de Emergência
20481,100111010,Campo Novo de Rondônia ,RO,110070,2,"2019,2019","chuva,chuva","Situação de Emergência,Situação de Emergência"
22324,100111021,Guajará-Mirim ,RO,110010,2,"2018,2014","chuva,chuva","Situação de Emergência,Situação de Emergência"
2132,100111028,Monte Negro,RO,110140,1,2012,chuva,Situação de Emergência
11431,100111029,Nova Brasilândia D´Oeste,RO,110014,1,2015,chuva,Situação de Emergência
11432,100111030,Nova Mamoré,RO,110033,4,"2015,2014,2019,2019","chuva,chuva,chuva,chuva","Situação de Emergência,Situação de Emergência,Situação de Emergência,Situação de Emergência"
11433,100111035,Pimenta Bueno,RO,110018,1,2015,chuva,Situação de Emergência
8852,100111037,Porto Velho,RO,110020,2,"2014,2014","chuva,chuva","Situação de Emergência,Estado de Calamidade Pública"
8854,100111041,Rolim de Moura,RO,110028,2,"2014,2013","chuva,chuva","Situação de Emergência,Situação de Emergência"
4078,100111042,Santa Luzia D´Oeste,RO,110029,1,2013,chuva,Situação de Emergência
11698,100112001,Acrelândia,AC,120001,1,2016,seca,Situação de Emergência
11699,100112002,Assis Brasil,AC,120005,4,"2016,2015,2012,2013","seca,chuva,chuva,seca","Situação de Emergência,Situação de Emergência,Situação de Emergência,Situação de Emergência"
4106,100112003,Brasiléia,AC,120010,8,"2013,2013,2015,2015,2016,2017,2012,2012","Outros,seca,chuva,chuva,seca,seca,chuva,chuva","Situação de Emergência,Situação de Emergência,Situação de Emergência,Estado de Calamidade Pública,Situação de Emergência,Situação de Emergência,Situação de Emergência,Estado de Calamidade Pública"
11701,100112004,Bujari,AC,120013,1,2016,seca,Situação de Emergência
9190,100112005,Capixaba,AC,120017,3,"2015,2019,2019","chuva,chuva,chuva","Situação de Emergência,Situação de Emergência,Situação de Emergência"
22471,100112006,Cruzeiro do Sul ,AC,120020,3,"2019,2017,2019","chuva,chuva,chuva","Situação de Emergência,Situação de Emergência,Situação de Emergência"
11702,100112007,Epitaciolândia,AC,120025,5,"2016,2013,2013,2012,2015","seca,Outros,seca,chuva,chuva","Situação de Emergência,Situação de Emergência,Situação de Emergência,Situação de Emergência,Situação de Emergência"
5,100112011,Manoel Urbano,AC,120034,1,2012,chuva,Situação de Emergência
18531,100112012,Marechal Thaumaturgo ,AC,120035,2,"2019,2019","chuva,chuva","Situação de Emergência,Situação de Emergência"
11703,100112013,Plácido de Castro,AC,120038,1,2016,seca,Situação de Emergência
11704,100112014,Porto Acre,AC,120080,4,"2016,2012,2017,2015","seca,chuva,seca,chuva","Situação de Emergência,Situação de Emergência,Situação de Emergência,Situação de Emergência"
9193,100112016,Rio Branco,AC,120040,13,"2015,2015,2016,2013,2013,2014,2019,2017,2019,2018,2012,2012,2012","chuva,chuva,seca,chuva,seca,chuva,Outros,seca,Outros,chuva,chuva,chuva,seca","Situação de Emergência,Estado de Calamidade Pública,Situação de Emergência,Situação de Emergência,Situação de Emergência,Situação de Emergência,Situação de Emergência,Situação de Emergência,Situação de Emergência,Situação de Emergência,Situação de Emergência,Estado de Calamidade Pública,Situação de Emergência"
13772,100112017,Rodrigues Alves,AC,120042,1,2017,chuva,Situação de Emergência
10,100112018,Santa Rosa do Purus,AC,120043,1,2012,chuva,Situação de Emergência
11,100112019,Sena Madureira,AC,120050,3,"2012,2014,2015","chuva,chuva,chuva","Situação de Emergência,Situação de Emergência,Situação de Emergência"
6526,100112021,Tarauacá,AC,120060,4,"2014,2014,2014,2017","chuva,chuva,chuva,chuva","Situação de Emergência,Situação de Emergência,Estado de Calamidade Pública,Situação de Emergência"
9196,100112022,Xapuri,AC,120070,5,"2015,2015,2012,2016,2013","chuva,chuva,chuva,seca,seca","Situação de Emergência,Estado de Calamidade Pública,Situação de Emergência,Situação de Emergência,Situação de Emergência"
4700,100113001,Alvarães,AM,130002,6,"2013,2012,2017,2015,2019,2019","chuva,chuva,chuva,chuva,chuva,chuva","Situação de Emergência,Situação de Emergência,Situação de Emergência,Situação de Emergência,Situação de Emergência,Situação de Emergência"
13918,100113002,Amaturá,AM,130006,4,"2017,2013,2012,2015","chuva,chuva,chuva,chuva","Situação de Emergência,Situação de Emergência,Situação de Emergência,Situação de Emergência"
9274,100113003,Anamã,AM,130008,9,"2015,2015,2013,2014,2019,2017,2012,2012,2019","chuva,chuva,chuva,chuva,chuva,chuva,Outros,chuva,chuva","Situação de Emergência,Estado de Calamidade Pública,Situação de Emergência,Situação de Emergência,Situação de Emergência,Situação de Emergência,Situação de Emergência,Situação de Emergência,Situação de Emergência"
22527,100113004,Anori ,AM,130010,7,"2019,2019,2015,2013,2014,2012,2017","chuva,chuva,chuva,chuva,chuva,chuva,chuva","Situação de Emergência,Situação de Emergência,Situação de Emergência,Situação de Emergência,Situação de Emergência,Situação de Emergência,Situação de Emergência"
20705,100113005,Apuí ,AM,130014,3,"2018,2016,2014","chuva,seca,chuva","Situação de Emergência,Situação de Emergência,Situação de Emergência"
13927,100113006,Atalaia do Norte,AM,130020,6,"2017,2019,2020,2015,2012,2019","chuva,chuva,chuva,chuva,chuva,chuva","Situação de Emergência,Situação de Emergência,Situação de Emergência,Situação de Emergência,Situação de Emergência,Situação de Emergência"
18575,100113007,Autazes ,AM,130030,6,"2019,2019,2013,2017,2012,2015","chuva,chuva,chuva,chuva,chuva,chuva","Situação de Emergência,Situação de Emergência,Situação de Emergência,Situação de Emergência,Situação de Emergência,Situação de Emergência"
20710,100113008,Barcelos ,AM,130040,3,"2018,2012,2016","Outros,chuva,seca","Situação de Emergência,Situação de Emergência,Situação de Emergência"
9279,100113009,Barreirinha,AM,130050,7,"2015,2014,2019,2012,2012,2019,2017","chuva,chuva,chuva,chuva,chuva,chuva,chuva","Situação de Emergência,Situação de Emergência,Situação de Emergência,Situação de Emergência,Situação de Emergência,Situação de Emergência,Situação de Emergência"
13922,100113010,Benjamin Constant,AM,130060,8,"2017,2013,2015,2015,2019,2019,2012,2012","chuva,chuva,chuva,chuva,chuva,chuva,Outros,chuva","Situação de Emergência,Situação de Emergência,Situação de Emergência,Estado de Calamidade Pública,Situação de Emergência,Situação de Emergência,Situação de Emergência,Situação de Emergência"
61,100113011,Beruri,AM,130063,5,"2012,2013,2014,2017,2015","chuva,chuva,chuva,chuva,chuva","Situação de Emergência,Situação de Emergência,Situação de Emergência,Situação de Emergência,Situação de Emergência"
9283,100113012,Boa Vista do Ramos,AM,130068,7,"2015,2013,2014,2012,2017,2019,2019","chuva,chuva,chuva,chuva,chuva,chuva,chuva","Situação de Emergência,Situação de Emergência,Situação de Emergência,Situação de Emergência,Situação de Emergência,Situação de Emergência,Situação de Emergência"
18615,100113013,Boca do Acre ,AM,130070,9,"2019,2014,2014,2015,2015,2019,2012,2012,2017","chuva,chuva,chuva,chuva,chuva,chuva,chuva,Outros,outros","Situação de Emergência,Situação de Emergência,Estado de Calamidade Pública,Situação de Emergência,Estado de Calamidade Pública,Situação de Emergência,Situação de Emergência,Situação de Emergência,Situação de Emergência"
6580,100113014,Borba,AM,130080,5,"2014,2019,2012,2015,2019","chuva,chuva,chuva,chuva,chuva","Situação de Emergência,Situação de Emergência,Situação de Emergência,Situação de Emergência,Situação de Emergência"
22532,100113015,Caapiranga ,AM,130083,9,"2019,2013,2014,2017,2015,2019,2018,2012,2013","chuva,chuva,chuva,chuva,chuva,chuva,chuva,chuva,chuva","Situação de Emergência,Situação de Emergência,Situação de Emergência,Situação de Emergência,Situação de Emergência,Situação de Emergência,Situação de Emergência,Situação de Emergência,Situação de Emergência"
67,100113016,Canutama,AM,130090,8,"2012,2013,2014,2016,2019,2019,2017,2015","chuva,chuva,chuva,seca,chuva,chuva,chuva,chuva","Situação de Emergência,Situação de Emergência,Situação de Emergência,Situação de Emergência,Situação de Emergência,Situação de Emergência,Situação de Emergência,Situação de Emergência"
9289,100113017,Carauari,AM,130100,7,"2015,2012,2012,2013,2017,2019,2019","chuva,chuva,Outros,chuva,chuva,chuva,chuva","Situação de Emergência,Situação de Emergência,Situação de Emergência,Situação de Emergência,Situação de Emergência,Situação de Emergência,Situação de Emergência"
