"Município";"Equipamentos Existentes";"Equipamentos em Uso";"Estab c/ Equip SUS"
"110001 Alta Floresta D'Oeste";83;82;44
"110037 Alto Alegre dos Parecis";43;42;40
"110040 Alto Paraíso";16;13;8
"110034 Alvorada D'Oeste";48;47;22
"110002 Ariquemes";1064;1010;163
"110045 Buritis";242;234;40
"110003 Cabixi";20;19;18
"110060 Cacaulândia";22;22;20
"110004 Cacoal";2756;2581;234
"110070 Campo Novo de Rondônia";92;89;28
"110080 Candeias do Jamari";69;66;44
"110090 Castanheiras";46;39;29
"110005 Cerejeiras";49;44;22
"110092 Chupinguaia";55;52;28
"110006 Colorado do Oeste";37;31;21
"110007 Corumbiara";12;12;7
"110008 Costa Marques";11;11;10
"110094 Cujubim";43;42;19
"110009 Espigão D'Oeste";217;212;39
"110100 Governador Jorge Teixeira";22;21;17
"110010 Guajará-Mirim";305;299;88
"110110 Itapuã do Oeste";70;68;30
"110011 Jaru";394;351;54
"110012 Ji-Paraná";1378;1310;161
"110013 Machadinho D'Oeste";54;54;15
"110120 Ministro Andreazza";42;42;37
"110130 Mirante da Serra";22;21;13
"110140 Monte Negro";23;17;18
"110014 Nova Brasilândia D'Oeste";47;43;27
"110033 Nova Mamoré";39;37;22
"110143 Nova União";19;18;15
"110050 Novo Horizonte do Oeste";11;8;10
"110015 Ouro Preto do Oeste";518;511;25
"110145 Parecis";18;16;14
"110018 Pimenta Bueno";540;508;65
"110146 Pimenteiras do Oeste";31;28;16
"110020 Porto Velho";9283;8514;730
"110025 Presidente Médici";97;97;37
"110147 Primavera de Rondônia";8;8;7
"110026 Rio Crespo";16;15;13
"110028 Rolim de Moura";138;116;41
"110029 Santa Luzia D'Oeste";41;28;18
"110148 São Felipe D'Oeste";18;14;11
"110149 São Francisco do Guaporé";168;160;41
"110032 São Miguel do Guaporé";53;50;14
"110150 Seringueiras";48;46;33
"110155 Teixeirópolis";20;20;12
"110160 Theobroma";9;9;9
"110170 Urupá";46;46;19
"110175 Vale do Anari";7;7;6
"110180 Vale do Paraíso";17;16;17
"110030 Vilhena";1767;1624;183
"120001 Acrelândia";32;32;29
"120005 Assis Brasil";16;16;14
"120010 Brasiléia";97;94;72
"120013 Bujari";15;15;15
"120017 Capixaba";9;9;8
"120020 Cruzeiro do Sul";509;466;219
"120025 Epitaciolândia";12;12;12
"120030 Feijó";72;63;49
"120032 Jordão";20;20;20
"120033 Mâncio Lima";41;39;36
"120034 Manoel Urbano";30;30;19
"120035 Marechal Thaumaturgo";34;33;29
"120038 Plácido de Castro";94;82;70
"120080 Porto Acre";39;39;39
"120039 Porto Walter";70;70;36
"120040 Rio Branco";4951;4587;693
"120042 Rodrigues Alves";37;37;31
"120043 Santa Rosa do Purus";26;21;19
"120050 Sena Madureira";128;124;106
"120045 Senador Guiomard";52;52;41
"120060 Tarauacá";53;51;33
"120070 Xapuri";26;23;21
"130002 Alvarães";45;42;43
"130006 Amaturá";24;16;23
"130008 Anamã";71;71;20
"130010 Anori";34;34;28
"130014 Apuí";51;51;42
"130020 Atalaia do Norte";49;44;21
"130030 Autazes";114;106;53
"130040 Barcelos";44;43;22
"130050 Barreirinha";149;105;65
"130060 Benjamin Constant";34;27;31
"130063 Beruri";25;25;20
"130068 Boa Vista do Ramos";62;60;35
"130070 Boca do Acre";129;129;75
"130080 Borba";96;75;36
"130083 Caapiranga";31;31;26
"130090 Canutama";19;19;10
"130100 Carauari";71;69;48
"130110 Careiro";40;40;18
"130115 Careiro da Várzea";10;10;9
"130120 Coari";148;142;102
"130130 Codajás";52;49;48
"130140 Eirunepé";85;85;56
"130150 Envira";29;29;18
"130160 Fonte Boa";22;19;17
"130165 Guajará";63;63;30
"130170 Humaitá";470;460;164
"130180 Ipixuna";47;46;25
"130185 Iranduba";112;106;84
"130190 Itacoatiara";118;115;66
"130195 Itamarati";19;17;10
"130200 Itapiranga";41;41;40
"130210 Japurá";35;29;31
"130220 Juruá";43;41;18
"130230 Jutaí";29;26;22
"130240 Lábrea";65;57;40
"130250 Manacapuru";160;154;69
"130255 Manaquiri";62;61;36
"130260 Manaus";22718;21345;2660
"130270 Manicoré";86;76;58
"130280 Maraã";23;22;19
"130290 Maués";81;80;38
"130300 Nhamundá";16;15;15
"130310 Nova Olinda do Norte";64;64;57
"130320 Novo Airão";25;22;19
"130330 Novo Aripuanã";74;73;47
"130340 Parintins";421;420;122
"130350 Pauini";46;46;36
"130353 Presidente Figueiredo";170;168;66
"130356 Rio Preto da Eva";138;114;65
"130360 Santa Isabel do Rio Negro";31;28;17
"130370 Santo Antônio do Içá";88;86;34
"130380 São Gabriel da Cachoeira";244;222;57
"130390 São Paulo de Olivença";55;54;29
"130395 São Sebastião do Uatumã";22;22;19
"130400 Silves";33;33;27
"130406 Tabatinga";256;243;96
"130410 Tapauá";59;57;57
"130420 Tefé";128;121;71
"130423 Tonantins";24;23;19
"130426 Uarini";39;36;22
"130430 Urucará";50;50;18
"130440 Urucurituba";21;21;14
"140005 Alto Alegre";73;64;44
"140002 Amajari";69;56;30
"140010 Boa Vista";6803;6316;752
"140015 Bonfim";35;34;34
"140017 Cantá";39;39;39
"140020 Caracaraí";100;100;81
"140023 Caroebe";66;59;31
"140028 Iracema";25;25;16
"140030 Mucajaí";71;70;49
"140040 Normandia";102;96;71
"140045 Pacaraima";42;40;22
"140047 Rorainópolis";245;226;109
"140050 São João da Baliza";35;33;12
"140060 São Luiz";68;59;26
"140070 Uiramutã";27;25;22
"150010 Abaetetuba";409;392;128
"150013 Abel Figueiredo";41;39;32
"150020 Acará";74;72;54
"150030 Afuá";20;20;20
"150034 Água Azul do Norte";69;56;45
"150040 Alenquer";41;40;29
"150050 Almeirim";139;117;42
"150060 Altamira";704;697;150
"150070 Anajás";19;19;12
"150080 Ananindeua";2826;2529;521
"150085 Anapu";138;138;89
"150090 Augusto Corrêa";29;29;28
"150095 Aurora do Pará";54;48;52
"150100 Aveiro";21;21;20
"150110 Bagre";71;52;28
"150120 Baião";93;90;88
"150125 Bannach";83;83;49
"150130 Barcarena";921;898;170
"150140 Belém";19870;19203;1188
"150145 Belterra";30;28;26
"150150 Benevides";192;192;116
"150157 Bom Jesus do Tocantins";48;46;29
"150160 Bonito";11;11;11
"150170 Bragança";553;541;159
"150172 Brasil Novo";158;154;89
"150175 Brejo Grande do Araguaia";8;8;8
"150178 Breu Branco";90;90;46
"150180 Breves";365;302;115
"150190 Bujaru";54;54;35
"150200 Cachoeira do Arari";21;21;21
