"Município";"Quantidade existente";"Quantidade SUS";"Quantidade Não SUS"
"110001 Alta Floresta D'Oeste";49;43;6
"110037 Alto Alegre dos Parecis";16;16;-
"110040 Alto Paraíso";16;16;-
"110034 Alvorada D'Oeste";35;35;-
"110002 Ariquemes";266;161;105
"110045 Buritis";66;32;34
"110003 Cabixi";9;9;-
"110060 Cacaulândia";26;26;-
"110004 Cacoal";360;287;73
"110070 Campo Novo de Rondônia";19;19;-
"110080 Candeias do Jamari";15;15;-
"110090 Castanheiras";7;7;-
"110005 Cerejeiras";40;40;-
"110092 Chupinguaia";10;10;-
"110006 Colorado do Oeste";50;50;-
"110007 Corumbiara";16;16;-
"110008 Costa Marques";45;45;-
"110094 Cujubim";11;11;-
"110009 Espigão D'Oeste";54;36;18
"110100 Governador Jorge Teixeira";22;21;1
"110010 Guajará-Mirim";97;88;9
"110110 Itapuã do Oeste";20;20;-
"110011 Jaru";115;100;15
"110012 Ji-Paraná";257;161;96
"110013 Machadinho D'Oeste";48;48;-
"110120 Ministro Andreazza";16;16;-
"110130 Mirante da Serra";33;25;8
"110140 Monte Negro";40;40;-
"110014 Nova Brasilândia D'Oeste";44;44;-
"110033 Nova Mamoré";31;31;-
"110143 Nova União";15;15;-
"110050 Novo Horizonte do Oeste";18;18;-
"110015 Ouro Preto do Oeste";123;51;72
"110145 Parecis";8;8;-
"110018 Pimenta Bueno";58;46;12
"110146 Pimenteiras do Oeste";9;9;-
"110020 Porto Velho";1691;1244;447
"110025 Presidente Médici";45;45;-
"110026 Rio Crespo";9;9;-
"110028 Rolim de Moura";94;78;16
"110029 Santa Luzia D'Oeste";25;25;-
"110148 São Felipe D'Oeste";7;7;-
"110149 São Francisco do Guaporé";29;29;-
"110032 São Miguel do Guaporé";44;44;-
"110150 Seringueiras";36;36;-
"110155 Teixeirópolis";9;9;-
"110160 Theobroma";13;13;-
"110170 Urupá";25;25;-
"110175 Vale do Anari";12;12;-
"110180 Vale do Paraíso";16;16;-
"110030 Vilhena";226;207;19
"120001 Acrelândia";16;16;-
"120005 Assis Brasil";12;12;-
"120010 Brasiléia";40;34;6
"120020 Cruzeiro do Sul";183;169;14
"120030 Feijó";41;41;-
"120032 Jordão";10;10;-
"120033 Mâncio Lima";25;25;-
"120034 Manoel Urbano";26;26;-
"120035 Marechal Thaumaturgo";13;13;-
"120038 Plácido de Castro";52;52;-
"120039 Porto Walter";14;14;-
"120040 Rio Branco";891;777;114
"120042 Rodrigues Alves";16;16;-
"120043 Santa Rosa do Purus";16;16;-
"120050 Sena Madureira";50;50;-
"120045 Senador Guiomard";29;29;-
"120060 Tarauacá";42;42;-
"120070 Xapuri";30;30;-
"130002 Alvarães";22;22;-
"130006 Amaturá";30;30;-
"130008 Anamã";20;20;-
"130010 Anori";23;23;-
"130014 Apuí";42;42;-
"130020 Atalaia do Norte";30;30;-
"130030 Autazes";31;31;-
"130040 Barcelos";30;30;-
"130050 Barreirinha";31;31;-
"130060 Benjamin Constant";37;37;-
"130063 Beruri";13;13;-
"130068 Boa Vista do Ramos";22;22;-
"130070 Boca do Acre";61;61;-
"130080 Borba";38;38;-
"130083 Caapiranga";18;18;-
"130090 Canutama";16;16;-
"130100 Carauari";52;52;-
"130110 Careiro";20;20;-
"130120 Coari";105;101;4
"130130 Codajás";47;47;-
"130140 Eirunepé";80;80;-
"130150 Envira";24;24;-
"130160 Fonte Boa";58;58;-
"130165 Guajará";20;20;-
"130170 Humaitá";33;33;-
"130180 Ipixuna";26;26;-
"130185 Iranduba";32;32;-
"130190 Itacoatiara";108;108;-
"130195 Itamarati";15;15;-
"130200 Itapiranga";18;18;-
"130210 Japurá";20;20;-
"130220 Juruá";20;20;-
"130230 Jutaí";18;18;-
"130240 Lábrea";56;56;-
"130250 Manacapuru";72;72;-
"130255 Manaquiri";20;20;-
"130260 Manaus";3645;2909;736
"130270 Manicoré";60;60;-
"130280 Maraã";19;19;-
"130290 Maués";90;90;-
"130300 Nhamundá";19;19;-
"130310 Nova Olinda do Norte";31;31;-
"130320 Novo Airão";22;22;-
"130330 Novo Aripuanã";31;31;-
"130340 Parintins";135;135;-
"130350 Pauini";26;26;-
"130353 Presidente Figueiredo";29;29;-
"130356 Rio Preto da Eva";29;29;-
"130360 Santa Isabel do Rio Negro";20;20;-
"130370 Santo Antônio do Içá";53;25;28
"130380 São Gabriel da Cachoeira";89;83;6
"130390 São Paulo de Olivença";22;22;-
"130395 São Sebastião do Uatumã";20;20;-
"130400 Silves";20;20;-
"130406 Tabatinga";51;51;-
"130410 Tapauá";35;35;-
"130420 Tefé";92;80;12
"130423 Tonantins";33;33;-
"130426 Uarini";20;20;-
"130430 Urucará";39;39;-
"130440 Urucurituba";32;32;-
"140005 Alto Alegre";26;22;4
"140010 Boa Vista";1141;1050;91
"140015 Bonfim";14;8;6
"140020 Caracaraí";24;24;-
"140023 Caroebe";16;16;-
"140028 Iracema";1;-;1
"140030 Mucajaí";22;14;8
"140040 Normandia";20;19;1
"140045 Pacaraima";13;13;-
"140047 Rorainópolis";30;30;-
"140050 São João da Baliza";15;15;-
"140060 São Luiz";17;14;3
"150010 Abaetetuba";319;262;57
"150013 Abel Figueiredo";21;21;-
"150020 Acará";33;33;-
"150030 Afuá";30;30;-
"150034 Água Azul do Norte";40;40;-
"150040 Alenquer";97;91;6
"150050 Almeirim";94;87;7
"150060 Altamira";269;179;90
"150070 Anajás";20;20;-
"150080 Ananindeua";855;696;159
"150085 Anapu";44;44;-
"150090 Augusto Corrêa";86;73;13
"150095 Aurora do Pará";58;58;-
"150110 Bagre";15;15;-
"150120 Baião";30;30;-
"150125 Bannach";10;10;-
"150130 Barcarena";181;163;18
"150140 Belém";4038;2897;1141
"150145 Belterra";20;20;-
"150157 Bom Jesus do Tocantins";31;31;-
"150170 Bragança";344;258;86
"150172 Brasil Novo";33;33;-
"150175 Brejo Grande do Araguaia";24;24;-
"150178 Breu Branco";44;44;-
"150180 Breves";140;140;-
"150190 Bujaru";43;30;13
"150200 Cachoeira do Arari";20;20;-
"150210 Cametá";183;166;17
"150215 Canaã dos Carajás";73;50;23
"150220 Capanema";278;176;102
"150230 Capitão Poço";164;86;78
"150240 Castanhal";420;320;100
"150250 Chaves";9;9;-
"150260 Colares";8;8;-
"150270 Conceição do Araguaia";119;117;2
"150275 Concórdia do Pará";25;25;-
"150276 Cumaru do Norte";11;11;-
"150277 Curionópolis";50;50;-
"150280 Curralinho";26;26;-
"150290 Curuçá";27;27;-
"150293 Dom Eliseu";81;75;6
"150295 Eldorado do Carajás";41;41;-
"150300 Faro";10;10;-
"150304 Floresta do Araguaia";20;20;-
"150307 Garrafão do Norte";20;20;-
"150309 Goianésia do Pará";24;24;-
"150310 Gurupá";23;23;-
"150320 Igarapé-Açu";45;45;-
"150330 Igarapé-Miri";133;129;4
"150340 Inhangapi";19;19;-
"150345 Ipixuna do Pará";76;76;-
"150350 Irituia";30;30;-
"150360 Itaituba";413;84;329
"150370 Itupiranga";53;53;-
"150375 Jacareacanga";24;24;-
"150380 Jacundá";165;73;92
"150390 Juruti";57;51;6
"150400 Limoeiro do Ajuru";20;20;-
"150405 Mãe do Rio";52;52;-
"150420 Marabá";432;345;87
"150430 Maracanã";27;27;-
"150440 Marapanim";18;18;-
"150442 Marituba";164;120;44
"150445 Medicilândia";41;41;-
"150450 Melgaço";15;15;-
"150460 Mocajuba";27;27;-
"150470 Moju";50;50;-
"150480 Monte Alegre";85;58;27
"150490 Muaná";26;26;-
"150495 Nova Esperança do Piriá";32;32;-
"150497 Nova Ipixuna";13;13;-
"150503 Novo Progresso";42;34;8
"150506 Novo Repartimento";54;54;-
