"Município";"Quantidade existente";"Quantidade SUS";"Quantidade Não SUS"
"110001 Alta Floresta D'Oeste";2;2;-
"110002 Ariquemes";36;9;27
"110045 Buritis";1;-;1
"110004 Cacoal";53;43;10
"110005 Cerejeiras";2;2;-
"110009 Espigão D'Oeste";1;1;-
"110012 Ji-Paraná";12;6;6
"110033 Nova Mamoré";10;10;-
"110015 Ouro Preto do Oeste";22;1;21
"110020 Porto Velho";354;224;130
"110028 Rolim de Moura";4;4;-
"110149 São Francisco do Guaporé";1;1;-
"110030 Vilhena";63;63;-
"120010 Brasiléia";42;13;29
"120020 Cruzeiro do Sul";41;1;40
"120038 Plácido de Castro";2;2;-
"120040 Rio Branco";162;126;36
"120045 Senador Guiomard";1;1;-
"130006 Amaturá";1;1;-
"130014 Apuí";2;2;-
"130020 Atalaia do Norte";1;1;-
"130030 Autazes";2;2;-
"130060 Benjamin Constant";4;4;-
"130063 Beruri";1;1;-
"130080 Borba";14;2;12
"130083 Caapiranga";3;3;-
"130100 Carauari";2;2;-
"130120 Coari";3;3;-
"130160 Fonte Boa";2;2;-
"130165 Guajará";1;1;-
"130170 Humaitá";10;10;-
"130200 Itapiranga";2;2;-
"130230 Jutaí";2;2;-
"130240 Lábrea";8;3;5
"130250 Manacapuru";9;9;-
"130260 Manaus";1040;754;286
"130280 Maraã";1;1;-
"130300 Nhamundá";1;1;-
"130340 Parintins";31;31;-
"130350 Pauini";1;1;-
"130353 Presidente Figueiredo";2;2;-
"130356 Rio Preto da Eva";7;2;5
"130370 Santo Antônio do Içá";1;1;-
"130380 São Gabriel da Cachoeira";2;2;-
"130400 Silves";1;1;-
"130406 Tabatinga";13;7;6
"130420 Tefé";9;5;4
"130426 Uarini";1;1;-
"130430 Urucará";1;1;-
"140005 Alto Alegre";1;1;-
"140010 Boa Vista";114;79;35
"140015 Bonfim";1;1;-
"140030 Mucajaí";1;1;-
"140040 Normandia";1;1;-
"140045 Pacaraima";1;1;-
"140047 Rorainópolis";1;1;-
"140050 São João da Baliza";1;1;-
