"Município";"Leitos Repouso/Observação Ped";"Leitos Repouso/Observação Fem";"Leitos Repouso/Observação Masc";"Leitos Repouso/Observação Indif"
"110037 Alto Alegre dos Parecis";-;-;-;1
"110040 Alto Paraíso";3;4;4;-
"110034 Alvorada D'Oeste";-;-;-;4
"110002 Ariquemes";4;-;-;16
"110045 Buritis";2;2;2;13
"110003 Cabixi";-;-;-;3
"110004 Cacoal";17;-;-;18
"110005 Cerejeiras";-;1;1;-
"110092 Chupinguaia";2;5;5;-
"110006 Colorado do Oeste";-;-;-;3
"110007 Corumbiara";-;-;1;-
"110008 Costa Marques";-;-;-;2
"110094 Cujubim";-;-;-;11
"110009 Espigão D'Oeste";-;-;-;6
"110100 Governador Jorge Teixeira";-;-;-;1
"110010 Guajará-Mirim";-;-;1;6
"110011 Jaru";-;-;-;2
"110012 Ji-Paraná";12;3;4;32
"110120 Ministro Andreazza";-;-;-;2
"110130 Mirante da Serra";1;-;-;2
"110140 Monte Negro";-;-;-;5
"110033 Nova Mamoré";-;-;-;6
"110143 Nova União";-;-;-;4
"110050 Novo Horizonte do Oeste";-;-;-;1
"110015 Ouro Preto do Oeste";10;-;5;1
"110018 Pimenta Bueno";-;-;-;5
"110020 Porto Velho";29;30;25;82
"110025 Presidente Médici";-;-;-;8
"110026 Rio Crespo";1;3;4;-
"110028 Rolim de Moura";-;-;-;5
"110149 São Francisco do Guaporé";4;4;6;-
"110032 São Miguel do Guaporé";2;5;4;-
"110150 Seringueiras";-;-;-;2
"110175 Vale do Anari";-;-;-;1
"110180 Vale do Paraíso";-;-;-;5
"110030 Vilhena";2;2;2;18
"120001 Acrelândia";-;-;-;2
"120010 Brasiléia";1;1;1;1
"120020 Cruzeiro do Sul";13;15;2;5
"120030 Feijó";3;-;-;5
"120033 Mâncio Lima";-;-;-;6
"120034 Manoel Urbano";-;-;-;3
"120038 Plácido de Castro";1;1;-;3
"120039 Porto Walter";1;-;-;-
"120040 Rio Branco";32;23;14;42
"120050 Sena Madureira";1;1;-;5
"120045 Senador Guiomard";3;-;-;6
"120060 Tarauacá";-;2;2;-
"120070 Xapuri";-;-;-;3
"130002 Alvarães";2;2;2;-
"130008 Anamã";-;-;-;3
"130014 Apuí";2;6;2;-
"130020 Atalaia do Norte";-;-;-;3
"130030 Autazes";7;-;-;8
"130060 Benjamin Constant";-;2;2;-
"130068 Boa Vista do Ramos";-;-;-;3
"130070 Boca do Acre";10;18;7;2
"130080 Borba";3;3;3;-
"130083 Caapiranga";-;-;-;2
"130090 Canutama";2;2;2;-
"130100 Carauari";-;5;5;-
"130110 Careiro";-;-;-;3
"130120 Coari";8;6;6;8
"130130 Codajás";4;6;8;-
"130140 Eirunepé";2;2;2;-
"130150 Envira";-;-;-;1
"130160 Fonte Boa";6;6;6;-
"130165 Guajará";2;2;2;-
"130170 Humaitá";4;4;4;1
"130180 Ipixuna";3;-;-;3
"130185 Iranduba";-;5;4;2
"130190 Itacoatiara";-;-;-;13
"130195 Itamarati";-;-;-;2
"130200 Itapiranga";-;-;-;2
"130210 Japurá";-;-;-;4
"130220 Juruá";-;-;1;2
"130230 Jutaí";2;1;1;2
"130240 Lábrea";2;2;2;5
"130250 Manacapuru";8;8;9;-
"130260 Manaus";162;143;117;300
"130270 Manicoré";-;-;-;8
"130280 Maraã";-;1;-;-
"130290 Maués";6;6;5;8
"130300 Nhamundá";-;-;-;9
"130310 Nova Olinda do Norte";-;4;-;-
"130320 Novo Airão";-;-;-;5
"130330 Novo Aripuanã";2;5;5;-
"130340 Parintins";12;12;13;4
"130350 Pauini";-;-;-;2
"130353 Presidente Figueiredo";4;5;6;-
"130356 Rio Preto da Eva";2;2;2;6
"130360 Santa Isabel do Rio Negro";-;-;-;4
"130370 Santo Antônio do Içá";-;-;-;6
"130380 São Gabriel da Cachoeira";12;-;-;20
"130390 São Paulo de Olivença";2;2;2;-
"130395 São Sebastião do Uatumã";-;-;-;1
"130400 Silves";2;2;2;-
"130406 Tabatinga";7;8;7;-
"130410 Tapauá";-;6;3;6
"130420 Tefé";3;-;-;1
"130423 Tonantins";-;-;-;2
"130426 Uarini";2;3;2;1
"130430 Urucará";2;2;2;-
"130440 Urucurituba";-;-;-;7
"140005 Alto Alegre";-;-;-;4
"140002 Amajari";-;-;-;1
"140010 Boa Vista";18;5;9;76
"140015 Bonfim";-;-;-;1
"140020 Caracaraí";-;-;-;3
"140045 Pacaraima";1;-;-;-
"140047 Rorainópolis";-;-;2;9
"150010 Abaetetuba";12;8;8;9
"150013 Abel Figueiredo";1;1;1;1
"150020 Acará";2;2;2;-
"150034 Água Azul do Norte";2;2;2;-
"150040 Alenquer";-;-;-;6
"150050 Almeirim";4;3;1;8
"150060 Altamira";-;3;-;16
"150070 Anajás";-;-;-;5
"150080 Ananindeua";44;42;50;73
"150085 Anapu";4;1;1;5
"150090 Augusto Corrêa";-;-;-;4
"150110 Bagre";-;-;-;1
"150120 Baião";-;-;-;6
"150125 Bannach";3;4;4;1
"150130 Barcarena";11;6;6;14
"150140 Belém";78;45;45;193
"150150 Benevides";4;4;4;5
"150170 Bragança";5;6;8;4
"150172 Brasil Novo";-;-;-;7
"150175 Brejo Grande do Araguaia";-;-;-;2
"150178 Breu Branco";-;-;-;1
"150180 Breves";2;-;-;12
"150195 Cachoeira do Piriá";-;-;-;4
"150210 Cametá";3;3;2;3
"150215 Canaã dos Carajás";3;3;3;12
"150220 Capanema";10;6;5;4
"150230 Capitão Poço";2;4;4;-
"150240 Castanhal";20;11;16;27
"150270 Conceição do Araguaia";-;4;4;4
"150277 Curionópolis";-;-;-;3
"150280 Curralinho";-;-;-;1
"150293 Dom Eliseu";-;-;-;6
"150295 Eldorado do Carajás";-;-;-;4
"150309 Goianésia do Pará";-;-;-;3
"150320 Igarapé-Açu";-;-;-;1
"150330 Igarapé-Miri";-;-;-;13
"150345 Ipixuna do Pará";-;3;3;8
"150350 Irituia";3;3;3;3
"150360 Itaituba";2;2;2;10
"150370 Itupiranga";3;-;-;14
"150375 Jacareacanga";-;-;-;4
"150390 Juruti";1;2;2;9
"150400 Limoeiro do Ajuru";1;-;-;1
"150410 Magalhães Barata";-;-;-;1
"150420 Marabá";11;2;2;26
"150430 Maracanã";-;-;-;2
"150442 Marituba";8;9;9;5
"150445 Medicilândia";1;1;1;-
"150450 Melgaço";-;-;-;4
"150460 Mocajuba";-;-;-;1
"150475 Mojuí dos Campos";1;-;-;-
"150480 Monte Alegre";-;-;-;4
"150490 Muaná";-;-;-;1
"150497 Nova Ipixuna";-;5;5;2
"150503 Novo Progresso";1;1;1;2
"150506 Novo Repartimento";1;-;1;9
"150510 Óbidos";4;3;2;6
"150530 Oriximiná";-;-;-;8
"150540 Ourém";-;-;-;3
"150543 Ourilândia do Norte";-;-;-;3
"150548 Pacajá";-;-;-;7
"150549 Palestina do Pará";-;-;-;1
"150550 Paragominas";11;6;10;7
"150553 Parauapebas";19;6;9;29
"150555 Pau D'Arco";-;-;-;1
"150563 Piçarra";1;1;1;-
"150565 Placas";-;-;-;1
"150580 Portel";-;-;-;5
"150590 Porto de Moz";-;-;-;2
"150600 Prainha";-;-;-;2
"150610 Primavera";2;6;4;4
"150611 Quatipuru";-;-;-;10
"150613 Redenção";-;1;-;11
"150618 Rondon do Pará";-;-;-;1
"150619 Rurópolis";1;4;4;1
"150620 Salinópolis";-;-;-;8
"150635 Santa Bárbara do Pará";-;-;-;6
"150650 Santa Izabel do Pará";-;-;-;3
"150660 Santa Maria do Pará";-;-;-;1
"150670 Santana do Araguaia";-;1;-;2
"150680 Santarém";22;33;27;37
"150700 Santo Antônio do Tauá";-;-;-;6
"150710 São Caetano de Odivelas";3;2;2;-
"150715 São Domingos do Araguaia";-;-;-;1
"150720 São Domingos do Capim";-;-;-;1
"150730 São Félix do Xingu";9;11;6;8
"150745 São Geraldo do Araguaia";-;-;-;2
"150747 São João de Pirabas";-;-;-;4
"150750 São João do Araguaia";-;-;-;2
"150760 São Miguel do Guamá";-;-;-;5
"150775 Sapucaia";1;-;-;-
"150780 Senador José Porfírio";-;-;-;2
"150795 Tailândia";1;-;-;-
"150797 Terra Santa";-;-;-;6
"150800 Tomé-Açu";-;-;-;9
"150803 Tracuateua";-;-;-;4
"150808 Tucumã";1;1;1;3
